GRBID	z	logTa_best	logTa_min	logTa_max	logFa	logFa_min	logFa_max	Photonindex_plateau	Photonerror_max	Photonerror_min	Alpha_best	Alpha_min	Alpha_max	Tt	Tfinal	kplateau	dk	logTa_rescaled	logTaErr	logLumTa	logLumTaErr	Gold1	Gold2	EnergyFlux	EnergyFluxerr	phinprompt	phinprompterror	Epeak	Epeakerror	Kprompt	KPrompterror	logLpeak	logLpeakerr	Environment	Functionalform	Eiso	Eisoerror	DistanceLum	GRBID_1	Theta	ThetaErr
090809A	2.737	4.56066	4.32235	4.79808	-11.8559	-12.1374	-11.4614	1.96	0.24	0.22	1.6367	1.22327	1.86208	3.9	5.5	0.948634852	0.174321787	3.988136902	0.237865	46.91346687	0.347293878	IS	IS	8.62e-8	1.16e-8	-1.37779	0.219187879	-	-	0.440322019	0.12723179	51.3713882	0.1385	Wind	PL	51.3714	0.1385	28.8465	090809A	12.468084005247546	0.5190323713130329
091109A	3.076	3.379338831	3.305069955	3.453607708	-11.14600534	-11.20541568	-11.086595	1.89	0.47	0.41	1.061528156	1.027808585	1.095247728	2.65	6	0.856789707	0.321037073	2.769104656	0.074268876	47.70135495	0.173234964	L	L	9.9e-8	1.82e-8	-1.35843	0.328056667	-	-	0.405968241	0.18713419	51.51871809	0.2155	S	PL	51.5187	0.2155	28.9076	091109A	11.928179695604195	0.772088556990111
091208B	1.063	3.313880941	3.260952765	3.366809118	-10.18031025	-10.21711667	-10.14350384	1.86	0.277713882	0.20838666	1.160654102	1.130151648	1.191156556	2	6	0.903587279	0.096386796	2.999381713	0.052928177	47.55929342	0.059168227	L-G	L-G	1.11e-6	4.82e-8	-1.49174	0.069439394	-	-	0.692074141	0.034801168	51.670966	0.0288	S	PL	51.6709	0.0288	28.3422	091208B	11.39497423084431	0.09857509757532261
100219A	4.7	4.721899099	4.618125636	4.825672562	-12.13530676	-12.46170239	-11.80891114	1.46	0.14	0.13	3.692984743	2.962131341	4.423838146	2.9	5.2	0.390685756	0.055634346	3.966024243	0.103773463	46.80900593	0.332202984	T	T	3.15e-8	7.21e-9	-1.42603	0.376558182	-	-	0.368256575	0.24135049	51.41721563	0.3015	N/A	PL	51.4172	0.3015	29.1266	100219A	12.29755733078568	1.1139801036609136
100316B	1.18	3.554376695	3.347027934	3.761725455	-11.14843575	-11.25274817	-11.04412333	2.08	0.24	0.2	1.362460631	1.229239671	1.495681591	2.2	6	1.064330529	0.110594568	3.215920201	0.20734876	46.77450075	0.113655511	IS	IS	7.75e-8	6.51e-9	-2.14877	0.134230303	-	-	1.122928676	0.117468462	50.83530215	0.0583	Wind	PL	50.8353	0.0583	28.3983	100316B	14.6493129727543	0.2569089078918191
100418A	0.624	5.54363	5.47702	5.62797	-12.4879	-12.5799	-12.365	1.84	0.24	0.22	1.81145	1.63793	1.97365	3	6.5	0.92535044	0.062545398	5.333043975	0.075475	44.69330352	0.111387541	XRF-D	XRF-D	5.03e-8	9.17e-9	-2.66135	0.381166667	-	-	1.378069331	0.254701333	50.05573832	0.1128	ISM	PL	50.0557	0.1128	28.0578	100418A	18.529823129080086	0.6309855822162069
100425A	1.755	3.601994145	3.486868609	3.717119681	-11.50116648	-11.57202554	-11.43030741	2.46	0.55	0.48	0.86819371	0.813116815	0.923270604	2.5	6	1.593881161	0.504159085	3.161872542	0.115125536	47.0228278	0.154569977	L	L	7.34e-8	9.16e-9	-2.35659	0.198363636	-	-	1.435300918	0.28853161	51.34429131	0.1027	ISM	PL	51.3443	0.1027	28.6112	100425A	12.57003238251153	0.3881207789778574
100513A	4.772	3.745229112	3.616612494	3.873845729	-11.57203392	-11.67021081	-11.47385703	2.36	0.42	0.37	0.963061356	0.90149192	1.024630793	3	6	1.879652108	0.788818635	2.98390279	0.128616618	48.07006784	0.207017589	L	L	4.77e-8	7.84e-9	-1.2861	0.26304697	-	-	0.286081081	0.131919494	51.50267338	0.2126	N/A	PL	51.5027	0.2126	29.1344	100513A	11.985815499642957	0.7656453449169107
100625A	0.452	2.438622571	2.199208507	2.678036635	-10.87971113	-11.2413526	-10.51806966	2.08	0.63	0.28	1.846579684	1.603598183	2.089561185	1.9	4.3	1.030284887	0.105956104	2.276655955	0.239414064	46.01082736	0.364389054	K-S	K-S	2.49e-7	1.07e-8	-0.922313	0.072230606	-	-	0.669037842	0.018022421	50.09893179	0.0221	S	PL	50.0989	0.0221	27.8892	100625A	18.28973063302082	0.12199315269046763
100728A	1.567	4.031486055	3.977723571	4.085248539	-10.17610694	-10.25218204	-10.10003184	1.96	0.19	0.18	1.558814298	1.524548502	1.593080094	3.8	6	0.962992634	0.101789204	3.622060186	0.053762484	48.00787307	0.088852235	L	L	5.28e-7	1.41e-8	-0.700784	0.04663	-	-	0.293810533	0.012915872	51.39080443	0.0224	S	PL	51.3908	0.0224	28.5506	100728A	12.395545976997928	0.08328782852645779
