time	timeerr1	timeerr2	flux	fluxerr1	fluxerr2
28.0210000169277	0.02	-0.02	2.07826506435614e-07	1.42081404363207e-08	-1.42081404363207e-08
28.0610000085831	0.02	-0.02	1.47065005051406e-06	9.5863447925702e-08	-9.5863447925702e-08
28.1010000002384	0.02	-0.02	5.20355484476107e-07	3.18191412543385e-08	-3.18191412543385e-08
28.1410000216961	0.02	-0.02	1.21877815443945e-06	7.73274263572037e-08	-7.73274263572037e-08
28.1810000133514	0.02	-0.02	9.4161817749186e-07	6.32925897801318e-08	-6.32925897801318e-08
28.2210000050068	0.02	-0.02	4.5788749402609e-07	2.86707682784258e-08	-2.86707682784258e-08
28.2610000264645	0.02	-0.02	7.67262830241181e-07	4.62702414655335e-08	-4.62702414655335e-08
28.3010000181198	0.02	-0.02	2.01388005982269e-07	1.48973005397564e-08	-1.48973005397564e-08
28.3410000097752	0.02	-0.02	8.18889492343574e-07	5.69842533975011e-08	-5.69842533975011e-08
28.3810000014305	0.02	-0.02	1.72342482011063e-06	1.15454663799474e-07	-1.15454663799474e-07
28.4210000228882	0.02	-0.02	1.86466125251355e-07	1.18957979791226e-08	-1.18957979791226e-08
28.4610000145435	0.02	-0.02	2.79518722649418e-07	1.98062574074364e-08	-1.98062574074364e-08
28.5010000061989	0.02	-0.02	1.79160435460326e-07	1.37283877281479e-08	-1.37283877281479e-08
28.5409999978542	0.02	-0.02	2.2806259848947e-07	1.54981027130587e-08	-1.54981027130587e-08
28.5810000193119	0.02	-0.02	1.33794568092719e-06	8.17820140467227e-08	-8.17820140467227e-08
28.6210000109673	0.02	-0.02	7.20692075658059e-07	4.71096254300092e-08	-4.71096254300092e-08
28.6610000026226	0.02	-0.02	1.2523873137686e-07	9.37057258713768e-09	-9.37057258713768e-09
28.7010000240803	0.02	-0.02	1.12211614599245e-06	7.75061893376353e-08	-7.75061893376353e-08
28.7410000157356	0.02	-0.02	1.52448293185463e-07	1.13058828962137e-08	-1.13058828962137e-08
28.781000007391	0.02	-0.02	5.73850878612974e-07	3.82664922962099e-08	-3.82664922962099e-08
28.8209999990463	0.02	-0.02	7.79637268460321e-07	5.57534153825799e-08	-5.57534153825799e-08
28.861000020504	0.02	-0.02	5.64824968635756e-07	4.45278709333148e-08	-4.45278709333148e-08
28.9010000121593	0.02	-0.02	1.43888039156496e-07	1.04871974375202e-08	-1.04871974375202e-08
28.9410000038147	0.02	-0.02	4.04377845214875e-07	3.07339060682709e-08	-3.07339060682709e-08
28.9810000252724	0.02	-0.02	1.21003260430342e-06	8.77569468818214e-08	-8.77569468818214e-08
29.0210000169277	0.02	-0.02	4.194918109464e-07	2.89611704126781e-08	-2.89611704126781e-08
29.0610000085831	0.02	-0.02	1.10068094432729e-06	7.41360291801146e-08	-7.41360291801146e-08
29.1010000002384	0.02	-0.02	2.42945989432927e-07	1.81619247891017e-08	-1.81619247891017e-08
29.1410000216961	0.02	-0.02	1.82057940942506e-06	1.35481434548621e-07	-1.35481434548621e-07
29.1810000133514	0.02	-0.02	5.21357380786292e-07	3.75586296572933e-08	-3.75586296572933e-08
29.2210000050068	0.02	-0.02	5.3863280530945e-07	3.66399451049628e-08	-3.66399451049628e-08
29.2610000264645	0.02	-0.02	1.49393390548666e-07	1.01912669273822e-08	-1.01912669273822e-08
29.3010000181198	0.02	-0.02	7.05723792683409e-08	5.58038611783341e-09	-5.58038611783341e-09
29.3410000097752	0.02	-0.02	8.61809234971118e-07	6.98963756622429e-08	-6.98963756622429e-08
29.3810000014305	0.02	-0.02	1.64063318974478e-07	1.23206291445337e-08	-1.23206291445337e-08
29.4210000228882	0.02	-0.02	3.2499292300117e-07	2.04529027784311e-08	-2.04529027784311e-08
29.4610000145435	0.02	-0.02	9.83432677314363e-08	7.68362762474431e-09	-7.68362762474431e-09
29.5010000061989	0.02	-0.02	7.32414966686317e-07	5.16181566981282e-08	-5.16181566981282e-08
